TIME,H_SIN,H_COS,DOY_SIN,DOY_COS,TEMP,HUMI,CLOU,WISP,WIDE_SIN,WIDE_COS,SUN_ELEV_CLIP,COS_ZEN,IRRADIANCE,EST_IRRADIANCE,IRRADIANCE_PROXY,IRRADIANCE_X_CAPA,CAPA,SEASONAL_SOLAR_PATTERN,WEATHER_ADJUSTED_PATTERN,EXPECTED_GEN_PROXY,GEN_LAG_2,PREDICTION,ACTUAL
2026-02-18 18:00:00,-1.0,-1.8369701987210297e-16,0.7469720876965552,0.6648553979642865,4.95,42.0,0.0,6.66,-0.6427876096865396,0.7660444431189778,1.2246467991473532e-16,1.2246467991473532e-16,0.0,1.2246467991473532e-16,1.2246467991473532e-16,1.185917344124318e-13,968.375,0.18625913996212426,0.24935220877729622,241.46644517471424,343.8,25.35511431941447,3.2200000000000006
2026-02-18 19:00:00,-0.9659258262890684,0.2588190451025203,0.7469720876965552,0.6648553979642865,4.31,44.0,0.0,5.47,-0.6018150231520483,0.7986355100472928,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.10109167905825721,0.1353352832366127,131.05530490425483,92.43000000000004,10.071829302650114,0.0
2026-02-18 20:00:00,-0.8660254037844386,0.5000000000000001,0.7469720876965552,0.6648553979642865,3.46,48.0,0.0,4.24,-0.5591929034707466,0.8290375725550418,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.04909737624191254,0.06572852861653047,63.649863899032695,3.2200000000000006,-0.000989545500253286,0.0
2026-02-18 21:00:00,-0.7071067811865477,0.7071067811865474,0.7469720876965552,0.6648553979642865,2.39,52.0,0.0,3.42,-0.544639035015027,0.838670567945424,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.021337631757133182,0.028565500784550377,27.66211682223897,0.0,-0.000989545500253286,0.0
2026-02-18 22:00:00,-0.5000000000000004,0.8660254037844384,0.7469720876965552,0.6648553979642865,1.25,57.0,0.0,2.84,-0.5735764363510465,0.8191520442889916,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.00829811033638466,0.011108996538242306,10.757674522720393,0.0,-0.000989422495423614,0.0
2026-02-18 23:00:00,-0.25881904510252157,0.9659258262890681,0.7469720876965552,0.6648553979642865,0.17,61.0,0.0,2.68,-0.5735764363510465,0.8191520442889916,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.002887734437450161,0.0038659201394728076,3.74366041506198,0.0,-0.000989422495423614,0.0
2026-02-19 00:00:00,0.0,1.0,0.7583058084785624,0.6518989958787126,0.15,60.0,0.0,2.26,-0.6018150231520483,0.7986355100472928,0.0,0.0,0.0,0.0,0.0,0.0,968.375,6.343102757393404e-05,8.364834722972752e-05,0.0810029682485874,0.0,-0.000989422495423614,0.0
2026-02-19 01:00:00,0.25881904510252074,0.9659258262890683,0.7583058084785624,0.6518989958787126,0.15,61.0,0.0,2.16,-0.6293203910498378,0.7771459614569706,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0002543832592659574,0.00033546262790251185,0.3248536222950949,0.0,-0.000989422495423614,0.0
2026-02-19 02:00:00,0.49999999999999994,0.8660254037844387,0.7583058084785624,0.6518989958787126,0.13,62.0,0.0,1.68,-0.529919264233205,0.8480480961564258,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0009128940266731984,0.001203859994828203,1.165787922491761,0.0,-0.000989422495423614,0.0
2026-02-19 03:00:00,0.7071067811865476,0.7071067811865476,0.7583058084785624,0.6518989958787126,-0.03,63.0,0.0,1.39,-0.034899496702500823,0.9993908270190958,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0029315496968764843,0.0038659201394728076,3.74366041506198,0.0,-0.004706051388045779,0.0
2026-02-19 04:00:00,0.8660254037844386,0.5000000000000001,0.7583058084785624,0.6518989958787126,-0.36,64.0,2.0,1.75,0.27563735581699916,0.9612616959383189,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.008424016601317382,0.01088681660747746,10.542521032265984,0.0,-0.004696057221425338,0.0
2026-02-19 05:00:00,0.9659258262890683,0.25881904510252074,0.7583058084785624,0.6518989958787126,-0.67,64.0,2.0,1.49,0.5299192642332049,0.848048096156426,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.021661385167023484,0.027994190768859367,27.10887448579419,0.0,-0.00464545976238931,0.0
