TIME,H_SIN,H_COS,DOY_SIN,DOY_COS,TEMP,HUMI,CLOU,WISP,WIDE_SIN,WIDE_COS,SUN_ELEV_CLIP,COS_ZEN,IRRADIANCE,EST_IRRADIANCE,IRRADIANCE_PROXY,IRRADIANCE_X_CAPA,CAPA,SEASONAL_SOLAR_PATTERN,WEATHER_ADJUSTED_PATTERN,EXPECTED_GEN_PROXY,GEN_LAG_2,dust_coverage_ratio,snow_coverage_ratio,bird_dropping_count,physical_damage_count,max_defect_confidence,cls_normal,cls_dust,cls_snow,cls_bird,cls_damage,PREDICTION,ACTUAL,ERROR,ANOMALY
2026-02-10 05:00:00,0.9659258262890683,0.25881904510252074,0.6486295610349814,0.7611042586607747,-0.62,72.0,100.0,1.55,0.19080899537654497,-0.981627183447664,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.018528428234627328,0.0,0.0,0.0,0.0,0.007540007459378,-0.1313459941718111,-0.0690649787986557,0.8668119754844372,0,0,1,0,0,-0.7524325961580264,0.0,0.7524325961580264,0
2026-02-10 06:00:00,1.0,6.123233995736766e-17,0.6486295610349814,0.7611042586607747,-1.05,80.0,75.0,2.36,0.2923717047227366,-0.9563047559630355,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.04263346666401537,0.01643213215413262,15.912465974758174,0.0,0.0,0.9500825958906324,-0.1313459941718111,2.185444128869101,0.9641321908580256,0,0,0,0,1,4.575626434077735,0.0,4.575626434077735,0
2026-02-10 07:00:00,0.9659258262890683,-0.25881904510252063,0.6486295610349814,0.7611042586607747,-0.88,79.0,80.0,2.41,0.4226182617406995,-0.9063077870366499,0.25881904510252074,0.25881904510252074,0.0,0.051763809020504134,0.25881904510252074,50.12677856023069,968.375,0.08778246535830897,0.027067056647322535,26.21106098085096,0.0,0.0,0.0642645858088042,-0.1313459941718111,-0.0690649787986557,0.940103113602956,0,0,0,0,1,13.770103836587342,1.61,12.160103836587343,0
2026-02-10 08:00:00,0.8660254037844387,-0.4999999999999998,0.6486295610349814,0.7611042586607747,-0.82,82.0,85.0,2.41,0.766044443118978,-0.6427876096865394,0.49999999999999994,0.49999999999999994,0.0,0.075,0.49999999999999994,72.628125,968.375,0.16173721372232067,0.037402831316594436,36.21996677620714,0.0,0.1201745939053852,0.0,-0.1313459941718111,1.6844421049429328,0.9211998314459235,0,0,0,0,1,50.857585227729466,32.78000000000001,18.077585227729458,0
2026-02-10 09:00:00,0.7071067811865476,-0.7071067811865475,0.6486295610349814,0.7611042586607747,-0.36,80.0,90.0,2.18,0.9271838545667874,-0.37460659341591207,0.7071067811865476,0.7071067811865476,0.0,0.07071067811865474,0.7071067811865476,68.47445292315228,968.375,0.2666595845277627,0.041111229050718734,39.81108643198976,1.61,0.1578954438194041,0.0,-0.1313459941718111,0.4319370451275124,0.9548082350021369,0,0,0,0,1,151.42284481923423,148.66999999999996,2.7528448192342694,0
2026-02-10 10:00:00,0.49999999999999994,-0.8660254037844387,0.6486295610349814,0.7611042586607747,0.7,75.0,95.0,2.9,0.9510565162951536,-0.30901699437494734,0.8660254037844386,0.8660254037844386,0.0,0.04330127018922197,0.8660254037844386,41.931867519487824,968.375,0.39341371556366306,0.030326532985631698,29.367456379961094,32.78000000000001,0.1629693832743922,0.0,-0.1313459941718111,-0.0690649787986557,0.9324016943565526,0,0,0,0,1,269.91709244670545,193.5600000000001,76.35709244670537,0
2026-02-10 11:00:00,0.258819045102521,-0.9659258262890682,0.6486295610349814,0.7611042586607747,2.09,73.0,100.0,2.96,0.9335804264972017,-0.35836794954530027,0.9659258262890683,0.9659258262890683,0.0,0.0,0.9659258262890683,0.0,968.375,0.5193819501582202,0.0,0.0,148.66999999999996,0.1354197724979192,0.0,-0.1313459941718111,0.1814360331644283,0.9421672182923814,0,0,0,0,1,298.1043226349128,152.12,145.98432263491281,0
2026-02-10 12:00:00,1.2246467991473532e-16,-1.0,0.6486295610349814,0.7611042586607747,2.22,82.0,100.0,2.23,0.8191520442889917,-0.5735764363510462,1.0,1.0,0.0,0.0,1.0,0.0,968.375,0.6135772750738794,0.0,0.0,193.5600000000001,0.0,0.0,-0.1313459941718111,1.6844421049429328,0.875886969112154,0,0,0,0,1,252.21949371288466,226.71000000000004,25.50949371288462,0
2026-02-10 13:00:00,-0.2588190451025208,-0.9659258262890683,0.6486295610349814,0.7611042586607747,2.76,84.0,100.0,2.33,0.8191520442889917,-0.5735764363510462,0.9659258262890683,0.9659258262890683,0.0,0.0,0.9659258262890683,0.0,968.375,0.6486295610349814,0.0,0.0,152.12,0.0,0.0,-0.1313459941718111,0.1814360331644283,0.8090712445212738,0,0,0,0,1,163.91763234295468,183.64999999999995,19.732367657045273,0
2026-02-10 14:00:00,-0.4999999999999997,-0.8660254037844388,0.6486295610349814,0.7611042586607747,4.3,78.0,100.0,1.67,0.6946583704589971,-0.7193398003386513,0.8660254037844387,0.8660254037844387,0.0,0.0,0.8660254037844387,0.0,968.375,0.6135772750738794,0.0,0.0,226.71000000000004,0.0,0.0,-0.1313459941718111,-0.0690649787986557,0.6305980866860486,0,0,0,0,1,168.15826718019068,152.33000000000013,15.82826718019055,0
