TIME,H_SIN,H_COS,DOY_SIN,DOY_COS,TEMP,HUMI,CLOU,WISP,WIDE_SIN,WIDE_COS,SUN_ELEV_CLIP,COS_ZEN,IRRADIANCE,EST_IRRADIANCE,IRRADIANCE_PROXY,IRRADIANCE_X_CAPA,CAPA,SEASONAL_SOLAR_PATTERN,WEATHER_ADJUSTED_PATTERN,EXPECTED_GEN_PROXY,GEN_LAG_2,dust_coverage_ratio,snow_coverage_ratio,bird_dropping_count,physical_damage_count,max_defect_confidence,cls_normal,cls_dust,cls_snow,cls_bird,cls_damage,PREDICTION,ACTUAL
2025-09-25 10:00:00,0.49999999999999994,-0.8660254037844387,-0.9951053111006974,-0.09882013873287211,23.38,94.0,100.0,2.75,-0.052335956242943564,-0.9986295347545738,0.8660254037844386,0.8660254037844386,101.25,0.0,0.8660254037844386,0.0,968.375,0.0,0.0,0.0,0.0,0.0,0.0,2.207460095597213,-0.0690649787986557,0.898347350759212,0,0,0,0,1,14.341608688647852,105.2
2025-09-25 11:00:00,0.258819045102521,-0.9659258262890682,-0.9951053111006974,-0.09882013873287211,23.32,93.0,100.0,3.57,-0.0348994967025009,-0.9993908270190958,0.9659258262890683,0.9659258262890683,159.32,0.0,0.9659258262890683,0.0,968.375,0.0,0.0,0.0,0.0,0.0,0.0116104050942648,-0.1313459941718111,2.435945140832185,0.9048765453984448,0,0,0,0,1,9.725577790444524,225.53000000000003
2025-09-25 12:00:00,1.2246467991473532e-16,-1.0,-0.9951053111006974,-0.09882013873287211,23.37,92.0,100.0,3.6,-0.0348994967025009,-0.9993908270190958,1.0,1.0,238.85,0.0,1.0,0.0,968.375,0.0,0.0,0.0,105.2,0.0,0.0116143697428659,-0.1313459941718111,2.435945140832185,0.9063727143626472,0,0,0,0,1,184.83598100903612,235.0
2025-09-25 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.9951053111006974,-0.09882013873287211,23.62,91.0,100.0,3.06,-0.29237170472273677,-0.9563047559630354,0.9659258262890683,0.9659258262890683,197.7,0.0,0.9659258262890683,0.0,968.375,0.0,0.0,0.0,225.53000000000003,0.0,0.0115982238986954,-0.1313459941718111,2.435945140832185,0.905062503473613,0,0,0,0,1,203.03450472492793,146.06999999999996
2025-09-25 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.9951053111006974,-0.09882013873287211,24.68,84.0,100.0,3.01,-0.6293203910498376,-0.7771459614569708,0.8660254037844387,0.8660254037844387,369.58,0.0,0.8660254037844387,0.0,968.375,0.0,0.0,0.0,235.0,0.0,0.0076250166381485,-0.1313459941718111,-0.0690649787986557,0.8718743472003158,0,0,1,0,0,245.29846658144157,183.46000000000004
2025-09-25 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.9951053111006974,-0.09882013873287211,24.65,85.0,100.0,1.53,0.2756373558169992,-0.9612616959383189,0.7071067811865476,0.7071067811865476,338.83,0.0,0.7071067811865476,0.0,968.375,0.0,0.0,0.0,146.06999999999996,0.0,0.9841115785564412,-0.1313459941718111,2.185444128869101,0.9617685768823148,0,0,0,0,1,164.10097013502227,292.42
2025-09-25 16:00:00,-0.8660254037844385,-0.5000000000000004,-0.9951053111006974,-0.09882013873287211,24.64,85.0,100.0,1.35,0.40673664307580043,-0.9135454576426008,0.49999999999999994,0.49999999999999994,294.2,0.0,0.49999999999999994,0.0,968.375,0.0,0.0,0.0,183.46000000000004,0.0,0.1299221859687401,-0.1313459941718111,0.4319370451275124,0.9238646915144184,0,0,0,0,1,77.59258494155125,200.5900000000001
2025-09-25 17:00:00,-0.9659258262890683,-0.25881904510252063,-0.9951053111006974,-0.09882013873287211,24.46,87.0,100.0,0.85,0.45399049973954686,-0.8910065241883678,0.258819045102521,0.258819045102521,164.5,0.0,0.258819045102521,0.0,968.375,0.0,0.0,0.0,292.42,0.0,0.0764525187105823,-0.1313459941718111,0.4319370451275124,0.970909868606396,0,0,0,0,1,4.748907515727956,99.93000000000004
2025-09-25 18:00:00,-1.0,-1.8369701987210297e-16,-0.9951053111006974,-0.09882013873287211,23.88,94.0,100.0,0.44,0.7313537016191706,-0.6819983600624984,1.2246467991473532e-16,1.2246467991473532e-16,58.92,0.0,1.2246467991473532e-16,0.0,968.375,0.0,0.0,0.0,200.5900000000001,0.0,0.0333756490416625,-0.1313459941718111,-0.0690649787986557,0.8805198106138281,0,0,0,0,1,-0.3804400396694092,4.590000000000002
2025-09-25 19:00:00,-0.9659258262890684,0.2588190451025203,-0.9951053111006974,-0.09882013873287211,23.79,95.0,100.0,0.53,0.9961946980917455,0.08715574274765814,0.0,0.0,3.35,0.0,0.0,0.0,968.375,0.0,0.0,0.0,99.93000000000004,0.0,0.0387907007481238,-0.1313459941718111,-0.0690649787986557,0.8827547212389635,0,0,0,0,1,-0.024740505802218444,0.0
