TIME,ACTUAL,PREDICTION,ERROR
2026-02-19 13:00:00,764.3699999999999,387.38852632646785,376.98147367353204
2026-02-19 14:00:00,686.5400000000001,355.5712348064714,330.96876519352867
2026-02-17 13:00:00,768.0799999999999,437.92069000646393,330.159309993536
2026-02-17 14:00:00,695.54,381.60611455302194,313.933885446978
2026-02-16 13:00:00,673.1600000000001,374.92864653022025,298.23135346977983
2026-02-17 12:00:00,760.5300000000002,464.8511920744336,295.6788079255666
2026-02-19 12:00:00,769.1700000000003,475.9587322328539,293.2112677671464
2026-02-15 12:00:00,128.79000000000002,413.8941602441867,285.1041602441867
2026-02-12 13:00:00,652.9999999999999,385.5114029717732,267.4885970282267
2026-02-17 10:00:00,555.58,299.53448967201575,256.0455103279843
2026-02-17 15:00:00,564.7,310.86977084865765,253.8302291513424
2026-02-20 13:00:00,696.1799999999998,443.9942991666886,252.18570083331122
2026-02-19 15:00:00,558.1600000000001,306.6254412025892,251.5345587974109
2026-02-19 16:00:00,334.47,94.54365938955928,239.92634061044075
2026-02-20 14:00:00,634.27,398.441708240019,235.82829175998097
2026-02-19 11:00:00,663.2500000000001,430.8248713057638,232.42512869423632
2026-02-17 11:00:00,687.79,462.04959615280495,225.740403847195
2026-02-17 16:00:00,332.25999999999993,109.7175444629605,222.54245553703942
2026-02-22 12:00:00,494.62,275.00554789712254,219.61445210287746
2026-02-21 13:00:00,705.7499999999999,487.9691727336216,217.7808272663783
2026-02-16 14:00:00,615.54,397.91356419317884,217.62643580682112
2026-02-18 16:00:00,343.8,126.87540050312711,216.9245994968729
2026-02-12 14:00:00,588.28,372.5521998392757,215.72780016072426
