TIME,H_SIN,H_COS,DOY_SIN,DOY_COS,TEMP,HUMI,CLOU,WISP,WIDE_SIN,WIDE_COS,SUN_ELEV_CLIP,COS_ZEN,IRRADIANCE,EST_IRRADIANCE,IRRADIANCE_PROXY,IRRADIANCE_X_CAPA,CAPA,SEASONAL_SOLAR_PATTERN,WEATHER_ADJUSTED_PATTERN,EXPECTED_GEN_PROXY,GEN_LAG_1,GEN_LAG_2,GEN_ROLL_MEAN_6,dust_coverage_ratio,snow_coverage_ratio,bird_dropping_count,physical_damage_count,max_defect_confidence,cls_normal,cls_dust,cls_snow,cls_bird,cls_damage,PREDICTION,ACTUAL,ERROR,ANOMALY,CLS_ANOMALY_PRED,HYBRID_ANOMALY
2026-02-21 07:00:00,0.9659258262890683,-0.25881904510252063,0.7802958510707755,0.6254105729852463,4.66,76.0,0.0,3.46,0.8191520442889917,-0.5735764363510462,0.25881904510252074,0.25881904510252074,0.0,0.25881904510252074,0.25881904510252074,250.6338928011535,968.375,0.10560156001301717,0.1353352832366127,131.05530490425483,0.0,0.0,0.0,0.1293241829231406,0.0,-0.1313459941718111,-0.3195659907617397,0.9200971389885988,0,1,0,0,0,17.562193055164514,17.690000000000005,0.12780694483549127,0,0,0
2026-02-21 08:00:00,0.8660254037844387,-0.4999999999999998,0.7802958510707755,0.6254105729852463,4.57,76.0,0.0,3.5,0.8090169943749475,-0.587785252292473,0.49999999999999994,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,484.18749999999994,968.375,0.19456849396425804,0.24935220877729622,241.46644517471424,17.690000000000005,0.0,2.9483333333332964,0.129783016862021,0.0,-0.1313459941718111,-0.3195659907617397,0.8514909465667287,0,1,0,0,0,112.65577378080576,120.78,8.124226219194242,0,0,0
2026-02-21 09:00:00,0.7071067811865476,-0.7071067811865475,0.7802958510707755,0.6254105729852463,5.78,73.0,0.0,3.63,0.6691306063588583,-0.7431448254773941,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,684.744529231523,968.375,0.32078921460696175,0.41111229050718745,398.11086431989764,120.78,17.690000000000005,23.078333333333294,0.1159632679252068,0.0,-0.1313459941718111,-0.3195659907617397,0.8637035709699861,0,1,0,0,0,316.50474755830385,300.77,15.734747558303866,0,0,0
2026-02-21 10:00:00,0.49999999999999994,-0.8660254037844387,0.7802958510707755,0.6254105729852463,8.18,68.0,0.0,4.94,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.8660254037844386,0.0,0.8660254037844386,0.8660254037844386,838.6373503897557,968.375,0.4732733573209882,0.6065306597126334,587.3491275992214,300.77,120.78,73.20666666666664,0.1446126042267023,0.0,-0.1313459941718111,-0.3195659907617397,0.9149076210590064,0,1,0,0,0,432.1970083603164,495.88,63.68299163968362,0,0,0
2026-02-21 11:00:00,0.258819045102521,-0.9659258262890682,0.7802958510707755,0.6254105729852463,11.32,59.0,0.0,6.06,-0.052335956242943564,-0.9986295347545738,0.9659258262890683,0.9659258262890683,0.0,0.9659258262890683,0.9659258262890683,935.3784220326766,968.375,0.6248120732931732,0.8007374029168081,775.414082549564,495.88,300.77,155.8533333333333,0.1713805915980392,0.0,-0.1313459941718111,-0.3195659907617397,0.8566708821156362,0,1,0,0,0,515.5664930618136,630.73,115.1635069381864,0,0,0
2026-02-21 12:00:00,1.2246467991473532e-16,-1.0,0.7802958510707755,0.6254105729852463,12.47,52.0,0.0,7.36,-0.275637355816999,-0.9612616959383189,1.0,1.0,0.0,1.0,1.0,968.375,968.375,0.7381282488690633,0.9459594689067654,916.043500702589,630.73,495.88,260.97499999999997,0.1691629401088668,0.0,-0.1313459941718111,-0.3195659907617397,0.9191555503065404,0,1,0,0,0,573.3293701133761,705.2899999999998,131.9606298866238,0,1,1
2026-02-21 13:00:00,-0.2588190451025208,-0.9659258262890683,0.7802958510707755,0.6254105729852463,13.3,50.0,0.0,8.21,-0.34202014332566866,-0.9396926207859084,0.9659258262890683,0.9659258262890683,0.0,0.9659258262890683,0.9659258262890683,935.3784220326766,968.375,0.7802958510707755,1.0,968.375,705.2899999999998,630.73,378.52333333333326,0.1573031164465914,0.0,-0.1313459941718111,-0.0690649787986557,0.9064785397793368,0,1,0,0,0,533.1944960354497,705.7499999999999,172.5555039645502,1,1,1
2026-02-21 14:00:00,-0.4999999999999997,-0.8660254037844388,0.7802958510707755,0.6254105729852463,13.37,48.0,1.0,8.61,-0.5000000000000001,-0.8660254037844386,0.8660254037844387,0.8660254037844387,0.0,0.8573651497465943,0.8660254037844387,830.2509768858582,968.375,0.7381282488690633,0.9364998742176978,906.8830656955631,705.7499999999999,705.2899999999998,493.1999999999999,0.1278580012980401,0.0,-0.1313459941718111,-0.3195659907617397,0.8738447242286662,0,1,0,0,0,501.3188749685964,628.3000000000001,126.98112503140368,0,1,1
2026-02-21 15:00:00,-0.7071067811865471,-0.7071067811865479,0.7802958510707755,0.6254105729852463,13.47,50.0,1.0,8.39,-0.5150380749100542,-0.8571673007021123,0.7071067811865476,0.7071067811865476,0.0,0.7000357133746821,0.7071067811865476,677.8970839392077,968.375,0.6248120732931732,0.79273002888764,767.6599417240684,628.3000000000001,705.7499999999999,577.7866666666666,0.143928921862929,0.0,-0.1313459941718111,-0.3195659907617397,0.909782065520486,0,1,0,0,0,351.6967391140619,501.58,149.88326088593806,1,1,1
2026-02-21 16:00:00,-0.8660254037844385,-0.5000000000000004,0.7802958510707755,0.6254105729852463,12.97,51.0,38.0,7.56,-0.5150380749100542,-0.8571673007021123,0.49999999999999994,0.49999999999999994,0.0,0.30999999999999994,0.49999999999999994,300.19624999999996,968.375,0.4732733573209882,0.37604900902183275,364.1564591115173,501.58,628.3000000000001,611.255,0.1707051549000341,0.0,-0.1313459941718111,-0.3195659907617397,0.9022256995617018,0,1,0,0,0,254.28141692226842,296.2,41.91858307773157,0,0,0
